Goroutine	Total		Execution time	Block time (preempted)	Block time (syscall)	Sched wait time	Syscall execution time	Unknown time
550	1m6.98474368s		536.124288ms	0s	0s	1m6.448619392s	0s	0s
377	1m6.973596928s		566.467712ms	0s	0s	1m6.407129216s	0s	0s
372	1m6.973455104s		527.843968ms	0s	0s	1m6.445611136s	0s	0s
302	1m6.972341056s		540.728237ms	0s	0s	1m6.431612819s	0s	0s
395	1m6.97070144s		541.784896ms	0s	0s	1m6.428916544s	0s	0s
256	1m6.960361792s		533.869504ms	0s	0s	1m6.426492288s	0s	0s
360	1m6.959822016s		553.333824ms	0s	0s	1m6.406488192s	0s	0s
592	1m6.958129216s		516.449984ms	0s	0s	1m6.441679232s	0s	0s
571	1m6.955223296s		533.408193ms	0s	0s	1m6.421815103s	0s	0s
84	1m6.953934272s		502.179264ms	0s	0s	1m6.451755008s	0s	0s
373	1m6.951205248s		544.131072ms	0s	0s	1m6.407074176s	0s	0s
310	1m6.947759936s		538.162553ms	0s	0s	1m6.409597383s	0s	0s
586	1m6.945551616s		575.753346ms	0s	0s	1m6.36979827s	0s	0s
583	1m6.93709536s		553.762304ms	0s	0s	1m6.383333056s	0s	0s
606	1m6.936214848s		512.85728ms	0s	0s	1m6.423357568s	0s	0s
516	1m6.92312416s		566.968576ms	0s	0s	1m6.356155584s	0s	0s
250	1m6.919099712s		544.17152ms	0s	0s	1m6.374928192s	0s	0s
175	1m6.914877568s		569.216768ms	0s	0s	1m6.3456608s	0s	0s
312	1m6.912115968s		535.229634ms	0s	0s	1m6.376886334s	0s	0s
56	1m6.907157952s		542.18016ms	0s	0s	1m6.364977792s	0s	0s
294	1m6.90168192s		546.033792ms	0s	0s	1m6.355648128s	0s	0s
428	1m6.891880768s		536.975168ms	0s	0s	1m6.3549056s	0s	0s
504	1m6.883614336s		546.521266ms	0s	0s	1m6.33709307s	0s	0s
41	1m6.876530048s		557.473536ms	0s	0s	1m6.319056512s	0s	0s
245	1m6.875929216s		543.046464ms	0s	0s	1m6.332882752s	0s	0s
29	1m6.874103488s		551.105844ms	0s	0s	1m6.322997644s	0s	0s
17	1m6.873883264s		535.71968ms	0s	0s	1m6.338163584s	0s	0s
37	1m6.859309056s		537.3232ms	0s	0s	1m6.321985856s	0s	0s
236	1m6.851663232s		524.243009ms	0s	0s	1m6.327420223s	0s	0s
594	1m6.846076096s		499.748352ms	0s	0s	1m6.346327744s	0s	0s
362	1m6.840124544s		523.909056ms	0s	0s	1m6.316215488s	0s	0s
595	1m6.838902272s		530.220096ms	0s	0s	1m6.308682176s	0s	0s
160	1m6.832271232s		536.843392ms	0s	0s	1m6.29542784s	0s	0s
262	1m6.830727936s		542.155712ms	0s	0s	1m6.288572224s	0s	0s
168	1m6.829015936s		562.381056ms	0s	0s	1m6.26663488s	0s	0s
401	1m6.82285728s		529.939712ms	0s	0s	1m6.292917568s	0s	0s
218	1m6.819631424s		541.440128ms	0s	0s	1m6.278191296s	0s	0s
389	1m6.81727584s		541.016449ms	0s	0s	1m6.276259391s	0s	0s
554	1m6.806491136s		540.783489ms	0s	0s	1m6.265707647s	0s	0s
578	1m6.801028032s		555.151233ms	0s	0s	1m6.245876799s	0s	0s
484	1m6.80062464s		542.921857ms	0s	0s	1m6.257702783s	0s	0s
148	1m6.79771776s		551.550657ms	0s	0s	1m6.246167103s	0s	0s
11	1m6.790097536s		573.846848ms	0s	0s	1m6.216250688s	0s	0s
65	1m6.78918912s		523.859264ms	0s	0s	1m6.265329856s	0s	0s
328	1m6.773069376s		539.4944ms	0s	0s	1m6.233574976s	0s	0s
474	1m6.772462144s		534.603456ms	0s	0s	1m6.237858688s	0s	0s
388	1m6.769739968s		516.29408ms	0s	0s	1m6.253445888s	0s	0s
295	1m6.768170304s		511.792192ms	0s	0s	1m6.256378112s	0s	0s
481	1m6.761417728s		531.275393ms	0s	0s	1m6.230142335s	0s	0s
574	1m6.759941056s		555.5776ms	0s	0s	1m6.204363456s	0s	0s
296	1m6.751450368s		545.003834ms	0s	0s	1m6.206446534s	0s	0s
482	1m6.743615808s		582.916928ms	0s	0s	1m6.16069888s	0s	0s
419	1m6.743440512s		567.593536ms	0s	0s	1m6.175846976s	0s	0s
244	1m6.733141568s		536.87584ms	0s	0s	1m6.196265728s	0s	0s
460	1m6.731940544s		540.248449ms	0s	0s	1m6.191692095s	0s	0s
95	1m6.731121024s		526.137217ms	0s	0s	1m6.204983807s	0s	0s
524	1m6.727811008s		595.82304ms	12.48µs	0s	1m6.131975488s	0s	0s
185	1m6.721503168s		525.261056ms	0s	0s	1m6.196242112s	0s	0s
228	1m6.719164992s		565.592384ms	0s	0s	1m6.153572608s	0s	0s
62	1m6.68989216s		561.79072ms	0s	0s	1m6.12810144s	0s	0s
518	1m6.6887424s		511.761973ms	0s	0s	1m6.176980427s	0s	0s
40	1m6.655645056s		581.116096ms	0s	0s	1m6.07452896s	0s	0s
599	1m6.63405024s		519.473216ms	0s	0s	1m6.114577024s	0s	0s
390	1m6.625067648s		513.384512ms	0s	0s	1m6.111683136s	0s	0s
467	1m6.573352704s		532.471616ms	0s	0s	1m6.040881088s	0s	0s
150	1m6.57269088s		548.404992ms	0s	0s	1m6.024285888s	0s	0s
191	1m6.564835264s		537.819072ms	0s	0s	1m6.027016192s	0s	0s
126	1m6.5450176s		529.47552ms	0s	0s	1m6.01554208s	0s	0s
280	1m6.539947392s		562.185344ms	0s	0s	1m5.977762048s	0s	0s
306	1m6.521014976s		544.585409ms	0s	0s	1m5.976429567s	0s	0s
97	1m6.508683776s		566.370432ms	0s	0s	1m5.942313344s	0s	0s
