Goroutine	Total		Execution time	Block time (syscall)	Sched wait time	Syscall execution time	Unknown time
2247	23.214947778s		175.838465ms	0s	23.039109313s	0s	0s
7895	23.172328322s		352.623232ms	0s	22.81970509s	0s	0s
324	12.470140544s		367.573056ms	0s	12.102567488s	0s	0s
9107	12.458453632s		416.171648ms	0s	12.042281984s	0s	0s
7188	12.457962176s		366.943552ms	0s	12.091018624s	0s	0s
9713	12.456203968s		371.881024ms	0s	12.084322944s	0s	0s
6784	12.443614848s		405.714304ms	0s	12.037900544s	0s	0s
9814	12.432462336s		405.564416ms	0s	12.02689792s	0s	0s
9006	12.424447104s		387.911232ms	0s	12.036535872s	0s	0s
1132	12.41730304s		379.368704ms	0s	12.037934336s	0s	0s
7390	12.416963584s		375.392192ms	0s	12.041571392s	0s	0s
3956	12.406761984s		405.527168ms	0s	12.001234816s	0s	0s
6885	12.404897472s		389.923328ms	0s	12.014974144s	0s	0s
8198	12.4046992s		400.270656ms	0s	12.004428544s	0s	0s
8400	12.381519296s		386.362368ms	0s	11.995156928s	0s	0s
7996	12.37605152s		404.529344ms	0s	11.971522176s	0s	0s
7592	12.36006432s		379.06464ms	0s	11.98099968s	0s	0s
9511	12.329065984s		379.787968ms	0s	11.949278016s	0s	0s
5269	12.313776192s		384.754304ms	0s	11.929021888s	0s	0s
4461	12.302323136s		412.706368ms	0s	11.889616768s	0s	0s
8602	12.298014208s		377.27232ms	0s	11.920741888s	0s	0s
8299	12.282679552s		402.281536ms	0s	11.880398016s	0s	0s
8703	12.267308352s		377.332416ms	0s	11.889975936s	0s	0s
4158	12.250776256s		382.166464ms	0s	11.868609792s	0s	0s
4865	12.242669376s		393.30624ms	0s	11.849363136s	0s	0s
8501	12.225733184s		388.107712ms	0s	11.837625472s	0s	0s
2954	12.217671936s		407.397185ms	0s	11.810274751s	0s	0s
10016	12.214816256s		381.33056ms	0s	11.833485696s	0s	0s
930	12.211534848s		396.928704ms	0s	11.814606144s	0s	0s
526	12.195521216s		381.629696ms	0s	11.81389152s	0s	0s
6481	12.181938368s		431.16384ms	0s	11.750774528s	0s	0s
6986	12.164433664s		384.251776ms	0s	11.780181888s	0s	0s
6077	12.141358272s		440.50656ms	0s	11.700851712s	0s	0s
4663	12.138388672s		390.352896ms	0s	11.748035776s	0s	0s
5067	12.130963648s		385.957184ms	0s	11.745006464s	0s	0s
829	12.106333824s		378.345728ms	0s	11.727988096s	0s	0s
7693	12.064976256s		370.324928ms	0s	11.694651328s	0s	0s
8804	12.049082112s		413.506944ms	0s	11.635575168s	0s	0s
9208	12.035822592s		375.94048ms	0s	11.659882112s	0s	0s
6582	11.986491968s		410.29792ms	0s	11.576194048s	0s	0s
8905	11.980037184s		399.243137ms	0s	11.580794047s	0s	0s
627	11.97728128s		363.374208ms	0s	11.613907072s	0s	0s
5875	11.961363776s		374.68096ms	0s	11.586682816s	0s	0s
7794	11.95299072s		401.884032ms	0s	11.551106688s	0s	0s
1031	11.950130496s		386.656064ms	0s	11.563474432s	0s	0s
9410	11.947574656s		368.636736ms	0s	11.57893792s	0s	0s
7087	11.870816832s		393.770688ms	0s	11.477046144s	0s	0s
9915	11.860839936s		378.347904ms	0s	11.482492032s	0s	0s
5572	11.839345472s		397.922624ms	0s	11.441422848s	0s	0s
8097	11.752920896s		384.367169ms	0s	11.368553727s	0s	0s
3350	11.713182464s		403.404736ms	0s	11.309777728s	0s	0s
223	11.705552768s		382.21472ms	0s	11.323338048s	0s	0s
4057	11.614906176s		365.147008ms	0s	11.249759168s	0s	0s
9612	11.596443712s		364.5088ms	0s	11.231934912s	0s	0s
6683	11.584906432s		371.456065ms	0s	11.213450367s	0s	0s
2651	11.565042496s		383.77152ms	0s	11.181270976s	0s	0s
5976	11.473850432s		395.483521ms	0s	11.078366911s	0s	0s
5673	11.460873216s		389.16896ms	0s	11.071704256s	0s	0s
3148	11.458326656s		387.125376ms	0s	11.07120128s	0s	0s
7491	11.384763136s		346.30496ms	0s	11.038458176s	0s	0s
4562	11.383363264s		377.088192ms	0s	11.006275072s	0s	0s
5370	11.365285632s		399.70144ms	0s	10.965584192s	0s	0s
6178	11.337602496s		380.580352ms	0s	10.957022144s	0s	0s
6380	11.282984s		370.656192ms	0s	10.912327808s	0s	0s
5168	11.234218624s		383.654144ms	0s	10.85056448s	0s	0s
4360	11.21103296s		372.083712ms	0s	10.838949248s	0s	0s
5471	11.180439872s		389.287872ms	0s	10.791152s	0s	0s
4259	11.179307648s		394.046144ms	0s	10.785261504s	0s	0s
4966	11.123775936s		378.162048ms	0s	10.745613888s	0s	0s
9309	11.098286976s		373.483008ms	0s	10.724803968s	0s	0s
7289	11.081723392s		358.040768ms	0s	10.723682624s	0s	0s
425	11.01056096s		384.10752ms	0s	10.62645344s	0s	0s
2853	10.9180736s		391.4464ms	0s	10.5266272s	0s	0s
6279	10.83141888s		388.263744ms	0s	10.443155136s	0s	0s
122	10.762858688s		389.206336ms	0s	10.373652352s	0s	0s
4764	10.696890944s		393.80288ms	0s	10.303088064s	0s	0s
2550	10.578520192s		377.243968ms	0s	10.201276224s	0s	0s
2752	10.543161728s		375.497216ms	0s	10.167664512s	0s	0s
3249	10.542195712s		382.6256ms	0s	10.159570112s	0s	0s
3855	10.4629696s		397.992128ms	0s	10.064977472s	0s	0s
3055	10.445341696s		395.93344ms	0s	10.049408256s	0s	0s
2146	10.000379648s		397.94848ms	0s	9.602431168s	0s	0s
3552	9.763052992s		376.659968ms	0s	9.386393024s	0s	0s
3653	9.7103392s		363.964736ms	0s	9.346374464s	0s	0s
3451	9.568165888s		359.880064ms	0s	9.208285824s	0s	0s
3754	9.274366336s		362.553408ms	0s	8.911812928s	0s	0s
5774	9.159955392s		342.41472ms	0s	8.817540672s	0s	0s
2348	8.897260544s		401.327936ms	0s	8.495932608s	0s	0s
21	8.863692992s		384.295936ms	0s	8.479397056s	0s	0s
2045	8.790277568s		385.644096ms	0s	8.404633472s	0s	0s
1637	8.703036416s		386.901248ms	0s	8.316135168s	0s	0s
1940	8.693159552s		379.541632ms	0s	8.31361792s	0s	0s
1435	8.437259712s		409.748352ms	0s	8.02751136s	0s	0s
2449	7.928876992s		375.473216ms	0s	7.553403776s	0s	0s
1839	7.744776s		364.702208ms	0s	7.380073792s	0s	0s
1738	6.907419648s		373.934785ms	0s	6.533484863s	0s	0s
1536	6.516411968s		377.026754ms	0s	6.139385214s	0s	0s
1334	4.57004288s		376.327424ms	0s	4.193715456s	0s	0s
1233	3.651556992s		378.09248ms	0s	3.273464512s	0s	0s
728	3.107244928s		385.35488ms	0s	2.721890048s	0s	0s
