Goroutine	Total		Execution time	Block time (preempted)	Block time (syscall)	Sched wait time	Syscall execution time	Unknown time
615	25.821795392s		799.382208ms	0s	0s	25.022413184s	0s	0s
514	25.801827776s		791.977216ms	11.904µs	0s	25.009838656s	0s	0s
9	25.789801664s		798.946752ms	11.584µs	0s	24.990843328s	0s	0s
110	25.749489792s		803.352512ms	5.76µs	0s	24.94613152s	0s	0s
2639	25.732539392s		794.821248ms	5.952µs	0s	24.937712192s	0s	0s
211	25.707242624s		794.488512ms	0s	0s	24.912754112s	0s	0s
2538	22.494324928s		785.645696ms	0s	0s	21.708679232s	0s	0s
9823	20.723586816s		787.927681ms	0s	0s	19.935659135s	0s	0s
9722	20.713848384s		786.404864ms	0s	0s	19.92744352s	0s	0s
10025	20.709005184s		789.06176ms	0s	0s	19.919943424s	0s	0s
9924	20.654590592s		787.85184ms	0s	0s	19.866738752s	0s	0s
9621	20.581653504s		787.161664ms	0s	0s	19.79449184s	0s	0s
9419	20.579617536s		787.230528ms	0s	0s	19.792387008s	0s	0s
9116	20.48757536s		789.029248ms	0s	0s	19.698546112s	0s	0s
9217	20.471459968s		787.404993ms	0s	0s	19.684054975s	0s	0s
9520	20.45031744s		786.238464ms	0s	0s	19.664078976s	0s	0s
9318	20.388385216s		787.928576ms	0s	0s	19.60045664s	0s	0s
9015	18.740658624s		788.110912ms	0s	0s	17.952547712s	0s	0s
8813	18.674440512s		786.43808ms	0s	0s	17.888002432s	0s	0s
8914	18.647060032s		786.038912ms	0s	0s	17.86102112s	0s	0s
8712	18.59431168s		787.295168ms	0s	0s	17.807016512s	0s	0s
8611	18.4943504s		786.115072ms	0s	0s	17.708235328s	0s	0s
8510	18.4881296s		787.61056ms	0s	0s	17.70051904s	0s	0s
8106	18.237811584s		787.59168ms	0s	0s	17.450219904s	0s	0s
8308	18.189129344s		786.5584ms	0s	0s	17.402570944s	0s	0s
8409	18.136866496s		787.981696ms	0s	0s	17.3488848s	0s	0s
8207	18.118198848s		785.013632ms	0s	0s	17.333185216s	0s	0s
8005	18.083902272s		786.949504ms	0s	0s	17.296952768s	0s	0s
7803	16.174468736s		785.793409ms	0s	0s	15.388675327s	0s	0s
7904	16.168850304s		787.271808ms	0s	0s	15.381578496s	0s	0s
7702	16.159072448s		788.977152ms	0s	0s	15.370095296s	0s	0s
7601	16.089786368s		786.650816ms	0s	0s	15.303135552s	0s	0s
7500	15.895091072s		804.30176ms	0s	0s	15.090789312s	0s	0s
7399	15.827382592s		787.461568ms	0s	0s	15.039921024s	0s	0s
7298	15.80186688s		786.710592ms	0s	0s	15.015156288s	0s	0s
7197	15.766250752s		793.561152ms	0s	0s	14.9726896s	0s	0s
7096	15.757735232s		800.077312ms	0s	0s	14.95765792s	0s	0s
6995	15.745695488s		788.955904ms	0s	0s	14.956739584s	0s	0s
6793	14.850492864s		787.663232ms	0s	0s	14.062829632s	0s	0s
6894	14.798288896s		788.727041ms	0s	0s	14.009561855s	0s	0s
6591	14.772568832s		787.591552ms	0s	0s	13.98497728s	0s	0s
6490	14.687531968s		785.908224ms	0s	0s	13.901623744s	0s	0s
6692	14.61610912s		786.371648ms	0s	0s	13.829737472s	0s	0s
6389	13.31287072s		785.863104ms	0s	0s	12.527007616s	0s	0s
6187	13.302154816s		787.298304ms	0s	0s	12.514856512s	0s	0s
6288	13.247716416s		785.440704ms	0s	0s	12.462275712s	0s	0s
5985	13.233487616s		786.449344ms	0s	0s	12.447038272s	0s	0s
6086	13.220383936s		786.823808ms	0s	0s	12.433560128s	0s	0s
5783	12.232572672s		786.826496ms	0s	0s	11.445746176s	0s	0s
5682	12.157654528s		787.149056ms	0s	0s	11.370505472s	0s	0s
5480	12.122703744s		787.770496ms	0s	0s	11.334933248s	0s	0s
5884	12.117442752s		786.266049ms	0s	0s	11.331176703s	0s	0s
5581	12.116145536s		785.484672ms	0s	0s	11.330660864s	0s	0s
5379	12.038197184s		786.126464ms	0s	0s	11.25207072s	0s	0s
5278	10.949232512s		787.025088ms	0s	0s	10.162207424s	0s	0s
5076	10.891843072s		786.307135ms	0s	0s	10.105535937s	0s	0s
5177	10.877352064s		785.787264ms	0s	0s	10.0915648s	0s	0s
4975	10.801615104s		786.696832ms	0s	0s	10.014918272s	0s	0s
4874	10.723023104s		786.678528ms	0s	0s	9.936344576s	0s	0s
4773	10.070361152s		786.918784ms	0s	0s	9.283442368s	0s	0s
4672	9.911075072s		787.169088ms	0s	0s	9.123905984s	0s	0s
4571	9.904193984s		786.23168ms	0s	0s	9.117962304s	0s	0s
4470	9.817876992s		787.741952ms	0s	0s	9.03013504s	0s	0s
4369	9.80504192s		787.202624ms	0s	0s	9.017839296s	0s	0s
4268	9.68641568s		786.052672ms	0s	0s	8.900363008s	0s	0s
3965	9.68080192s		788.361792ms	0s	0s	8.892440128s	0s	0s
4167	9.610264128s		786.955648ms	0s	0s	8.82330848s	0s	0s
4066	9.55176s		787.974976ms	0s	0s	8.763785024s	0s	0s
3864	9.551188608s		787.342464ms	0s	0s	8.763846144s	0s	0s
3763	7.965759424s		786.229376ms	0s	0s	7.179530048s	0s	0s
3662	7.948939008s		786.572289ms	0s	0s	7.162366719s	0s	0s
3561	7.940219584s		787.050368ms	0s	0s	7.153169216s	0s	0s
3460	7.858188608s		788.460864ms	0s	0s	7.069727744s	0s	0s
3359	7.292502144s		788.261632ms	0s	0s	6.504240512s	0s	0s
