Goroutine	Total		Execution time	Block time (syscall)	Sched wait time	Syscall execution time	Unknown time
211	14.980911297s		436.9952ms	0s	14.543916097s	0s	0s
615	14.979425857s		462.072383ms	0s	14.517353474s	0s	0s
918	14.978373441s		466.230273ms	0s	14.512143168s	0s	0s
1019	14.978128001s		328.319553ms	0s	14.649808448s	0s	0s
1120	14.977965249s		333.456192ms	0s	14.644509057s	0s	0s
1221	14.977801793s		429.91616ms	0s	14.547885633s	0s	0s
2235	14.973788353s		439.693376ms	0s	14.534094977s	0s	0s
2342	14.966464129s		64.640769ms	0s	14.90182336s	0s	0s
5069	14.961122945s		485.754114ms	0s	14.475368831s	0s	0s
5271	14.960750529s		445.394944ms	0s	14.515355585s	0s	0s
5372	14.960578945s		456.532096ms	0s	14.504046849s	0s	0s
5473	14.960398145s		321.211713ms	0s	14.639186432s	0s	0s
5978	14.959667649s		384.993276ms	0s	14.574674373s	0s	0s
6281	14.959189889s		430.82272ms	0s	14.528367169s	0s	0s
6584	14.958751553s		440.061761ms	0s	14.518689792s	0s	0s
7493	14.957412097s		443.636544ms	0s	14.513775553s	0s	0s
7594	14.957267201s		441.431807ms	0s	14.515835394s	0s	0s
7695	14.957134273s		446.231936ms	0s	14.510902337s	0s	0s
7897	14.956830273s		357.145024ms	0s	14.599685249s	0s	0s
7998	14.956689281s		449.479807ms	0s	14.507209474s	0s	0s
8099	14.956553409s		291.369408ms	0s	14.665184001s	0s	0s
8301	14.956217921s		397.367489ms	0s	14.558850432s	0s	0s
8604	14.955770497s		455.377856ms	0s	14.500392641s	0s	0s
8705	14.955638657s		399.329409ms	0s	14.556309248s	0s	0s
8907	14.955341761s		395.725824ms	0s	14.559615937s	0s	0s
9008	14.955206593s		410.226112ms	0s	14.544980481s	0s	0s
9210	14.954914497s		364.731072ms	0s	14.590183425s	0s	0s
9311	14.954777345s		345.981632ms	0s	14.608795713s	0s	0s
9412	14.954616001s		406.981633ms	0s	14.547634368s	0s	0s
9513	14.954482817s		445.593408ms	0s	14.508889409s	0s	0s
9614	14.954311873s		456.301633ms	0s	14.49801024s	0s	0s
9816	14.953405185s		464.807872ms	0s	14.488597313s	0s	0s
6382	14.943212032s		461.45152ms	0s	14.481760512s	0s	0s
4766	14.9233136s		462.049984ms	0s	14.461263616s	0s	0s
9109	14.91307072s		409.63456ms	0s	14.50343616s	0s	0s
6079	14.901476928s		406.777844ms	0s	14.494699084s	0s	0s
6685	14.899207424s		455.42944ms	0s	14.443777984s	0s	0s
7291	14.884212928s		473.935616ms	0s	14.410277312s	0s	0s
9715	14.854863616s		437.58752ms	0s	14.417276096s	0s	0s
8200	14.794715328s		468.759617ms	0s	14.325955711s	0s	0s
8806	14.794538624s		447.933889ms	0s	14.346604735s	0s	0s
2134	14.79362496s		454.923008ms	0s	14.338701952s	0s	0s
110	14.78875616s		476.288513ms	0s	14.312467647s	0s	0s
6180	14.77012352s		446.418048ms	0s	14.323705472s	0s	0s
2302	14.759764993s		411.887808ms	0s	14.347877185s	0s	0s
817	14.709736832s		454.401664ms	0s	14.255335168s	0s	0s
3857	14.702220032s		498.22624ms	0s	14.203993792s	0s	0s
413	14.690980864s		457.092416ms	0s	14.233888448s	0s	0s
312	14.680956032s		440.695296ms	0s	14.240260736s	0s	0s
8503	14.66755648s		468.656001ms	0s	14.198900479s	0s	0s
7796	14.647301056s		462.20288ms	0s	14.185098176s	0s	0s
5170	14.61082144s		475.113792ms	0s	14.135707648s	0s	0s
5776	14.587500416s		541.005633ms	0s	14.046494783s	0s	0s
4059	14.586416896s		489.661889ms	0s	14.096755007s	0s	0s
8402	14.579861696s		429.706432ms	0s	14.150155264s	0s	0s
4362	14.510400384s		417.772227ms	0s	14.092628157s	0s	0s
6483	14.494801472s		457.998849ms	0s	14.036802623s	0s	0s
5877	14.434371392s		494.032575ms	0s	13.940338817s	0s	0s
7392	14.404265792s		464.603008ms	0s	13.939662784s	0s	0s
10019	14.375184704s		451.370112ms	0s	13.923814592s	0s	0s
3756	14.365668288s		567.774786ms	0s	13.797893502s	0s	0s
3655	14.332827712s		481.342977ms	0s	13.851484735s	0s	0s
5574	14.303054848s		417.100416ms	0s	13.885954432s	0s	0s
4665	14.273772096s		456.175618ms	0s	13.817596478s	0s	0s
4867	14.196842304s		478.1136ms	0s	13.718728704s	0s	0s
7190	14.190943744s		460.251456ms	0s	13.730692288s	0s	0s
6786	14.1716016s		477.849472ms	0s	13.693752128s	0s	0s
514	14.163521664s		439.091776ms	0s	13.724429888s	0s	0s
6988	14.148804032s		476.179009ms	0s	13.672625023s	0s	0s
6887	14.004353728s		441.151745ms	0s	13.563201983s	0s	0s
7089	13.903075456s		451.033025ms	0s	13.452042431s	0s	0s
3453	13.832010816s		444.888704ms	0s	13.387122112s	0s	0s
4463	13.829490816s		409.401597ms	0s	13.420089219s	0s	0s
3352	13.82792768s		418.908652ms	0s	13.409019028s	0s	0s
5675	13.755577792s		496.996736ms	0s	13.258581056s	0s	0s
3150	13.692534144s		498.273679ms	0s	13.194260465s	0s	0s
4261	13.59702912s		437.093103ms	0s	13.159936017s	0s	0s
2033	13.594529088s		472.798401ms	0s	13.121730687s	0s	0s
2847	13.539976448s		482.744448ms	0s	13.057232s	0s	0s
4564	13.486203904s		471.470147ms	0s	13.014733757s	0s	0s
2948	13.456228224s		499.039808ms	0s	12.957188416s	0s	0s
4160	13.445954432s		528.667776ms	0s	12.917286656s	0s	0s
3958	13.367704576s		454.262144ms	0s	12.913442432s	0s	0s
2746	13.19544448s		458.889344ms	0s	12.736555136s	0s	0s
4968	13.190369472s		553.087489ms	0s	12.637281983s	0s	0s
3554	12.909527936s		512.492481ms	0s	12.397035455s	0s	0s
3049	12.776887552s		472.026177ms	0s	12.304861375s	0s	0s
3251	12.655863616s		458.356672ms	0s	12.197506944s	0s	0s
1928	12.43228s		536.729615ms	0s	11.895550385s	0s	0s
1625	12.132802752s		452.533056ms	0s	11.680269696s	0s	0s
2645	12.004034944s		456.434369ms	0s	11.547600575s	0s	0s
2443	11.764810048s		416.647066ms	0s	11.348162982s	0s	0s
2544	11.76048064s		449.543104ms	0s	11.310937536s	0s	0s
1726	11.721612736s		460.946176ms	0s	11.26066656s	0s	0s
1827	11.449814464s		466.905088ms	0s	10.982909376s	0s	0s
1524	11.162518848s		452.844096ms	0s	10.709674752s	0s	0s
1423	10.935732352s		427.858881ms	0s	10.507873471s	0s	0s
1322	10.41317024s		494.648704ms	0s	9.918521536s	0s	0s
716	9.893754432s		435.255745ms	0s	9.458498687s	0s	0s
9	9.197437312s		422.991535ms	0s	8.774445777s	0s	0s
