Goroutine	Total		Execution time	Block time (preempted)	Block time (syscall)	Sched wait time	Syscall execution time	Unknown time
16719	9.634325952s		819.968µs	0s	0s	9.633505984s	0s	0s
16641	9.633780992s		776.832µs	0s	0s	9.63300416s	0s	0s
16560	9.633291072s		571.2µs	0s	0s	9.632719872s	0s	0s
16531	9.632833536s		455.168µs	345.088µs	0s	9.63203328s	0s	0s
16530	9.632459648s		509.248µs	21.632µs	0s	9.631928768s	0s	0s
20495	9.522375808s		728.384µs	0s	0s	9.521647424s	0s	0s
26229	9.507103744s		351.59µs	0s	0s	9.506752154s	0s	0s
1608	8.572117184s		401.6µs	8.128µs	0s	8.571707456s	0s	0s
1607	8.571740096s		703.232µs	7.04µs	0s	8.571029824s	0s	0s
1606	8.571067968s		806.4µs	11.456µs	0s	8.570250112s	0s	0s
1605	8.570286336s		804.544µs	7.936µs	0s	8.569473856s	0s	0s
1604	8.569507648s		420.032µs	8.576µs	0s	8.56907904s	0s	0s
1603	8.569111232s		814.272µs	7.744µs	0s	8.568289216s	0s	0s
1602	8.568324224s		887.04µs	9.472µs	0s	8.567427712s	0s	0s
1601	8.56748736s		616.896µs	8µs	0s	8.566862464s	0s	0s
1600	8.566896576s		400.96µs	8.448µs	0s	8.566487168s	0s	0s
1599	8.566521088s		401.536µs	8.256µs	0s	8.566111296s	0s	0s
1598	8.566146176s		403.456µs	8.704µs	0s	8.565734016s	0s	0s
1597	8.565770432s		401.984µs	8.128µs	0s	8.56536032s	0s	0s
1540	8.565566656s		401.28µs	8.064µs	0s	8.565157312s	0s	0s
1596	8.565393984s		408.704µs	7.488µs	0s	8.564977792s	0s	0s
1539	8.565190528s		401.344µs	7.808µs	0s	8.564781376s	0s	0s
1538	8.564814912s		401.472µs	7.936µs	0s	8.564405504s	0s	0s
1537	8.564463936s		402.048µs	9.28µs	0s	8.564052608s	0s	0s
1536	8.564086016s		725.568µs	5.184µs	0s	8.563355264s	0s	0s
1535	8.56340288s		816.32µs	7.744µs	0s	8.562578816s	0s	0s
1534	8.562612352s		815.424µs	8.512µs	0s	8.561788416s	0s	0s
