SCHED 0ms: gomaxprocs=12 idleprocs=9 threads=5 spinningthreads=1 needspinning=0 idlethreads=0 runqueue=0 [ 0 0 0 0 0 0 0 0 0 0 0 0 ] schedticks=[ 0 2 0 0 0 0 0 0 0 0 0 0 ]
SCHED 1ms: gomaxprocs=2 idleprocs=1 threads=5 spinningthreads=0 needspinning=0 idlethreads=3 runqueue=0 [ 0 0 ] schedticks=[ 1 3 ]
SCHED 2ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=129 [ 2 147 ] schedticks=[ 3 3 ]
SCHED 3ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=516 [ 2 143 ] schedticks=[ 3 3 ]
SCHED 5ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1677 [ 2 167 ] schedticks=[ 3 3 ]
SCHED 9ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2452 [ 233 178 ] schedticks=[ 8 6 ]
SCHED 14ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2839 [ 150 171 ] schedticks=[ 15 16 ]
SCHED 27ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2839 [ 133 154 ] schedticks=[ 32 33 ]
SCHED 39ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2839 [ 118 139 ] schedticks=[ 47 48 ]
SCHED 52ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2838 [ 102 127 ] schedticks=[ 64 60 ]
SCHED 62ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2838 [ 90 127 ] schedticks=[ 77 60 ]
SCHED 72ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2837 [ 77 114 ] schedticks=[ 90 74 ]
SCHED 85ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2837 [ 61 98 ] schedticks=[ 106 90 ]
SCHED 96ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2837 [ 46 84 ] schedticks=[ 121 104 ]
SCHED 107ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2836 [ 33 76 ] schedticks=[ 135 112 ]
SCHED 118ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2836 [ 20 76 ] schedticks=[ 149 112 ]
SCHED 129ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2835 [ 7 63 ] schedticks=[ 162 126 ]
