SCHED 0ms: gomaxprocs=12 idleprocs=9 threads=5 spinningthreads=1 needspinning=0 idlethreads=0 runqueue=0 [ 0 0 0 0 0 0 0 0 0 0 0 0 ] schedticks=[ 0 2 0 0 0 0 0 0 0 0 0 0 ]
SCHED 1ms: gomaxprocs=2 idleprocs=1 threads=5 spinningthreads=0 needspinning=0 idlethreads=3 runqueue=0 [ 0 0 ] schedticks=[ 1 3 ]
SCHED 2ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=129 [ 2 179 ] schedticks=[ 3 3 ]
SCHED 3ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=516 [ 2 160 ] schedticks=[ 3 3 ]
SCHED 4ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1032 [ 2 236 ] schedticks=[ 3 3 ]
SCHED 6ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1806 [ 2 182 ] schedticks=[ 3 3 ]
SCHED 9ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2581 [ 235 243 ] schedticks=[ 7 8 ]
SCHED 16ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2844 [ 157 232 ] schedticks=[ 16 20 ]
SCHED 27ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2844 [ 144 218 ] schedticks=[ 30 34 ]
SCHED 39ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2844 [ 127 214 ] schedticks=[ 46 38 ]
SCHED 52ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2844 [ 112 214 ] schedticks=[ 61 38 ]
SCHED 63ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=2844 [ 98 199 ] schedticks=[ 76 53 ]
